market_id,cluster
poly_will-mikie-sherrill-win-the-new-jersey-governor-election-in-2025,4
poly_will-mistral-have-the-best-ai-model-at-the-end-of-january-2026,13
poly_will-monad-perform-an-airdrop-by-october-31,9
poly_will-mrbeast-win-the-2028-democratic-presidential-nomination,10
poly_will-nasry-juan-asfura-zablah-win-the-2025-honduras-presidential-election,16
poly_will-ngela-maryah-win-the-2026-portugal-presidential-election,9
poly_will-nikki-haley-win-the-2028-us-presidential-election,9
poly_will-nvidia-be-the-largest-company-in-the-world-by-market-cap-on-december-31-2025,8
poly_will-octavian-berceanu-be-the-next-mayor-of-bucharest,18
poly_will-oprah-winfrey-win-the-2028-democratic-presidential-nomination,10
poly_will-pedro-tinoco-de-faria-win-the-2026-portugal-presidential-election,18
poly_will-peoples-party-pple-win-the-most-seats-in-the-2026-thai-legislative-election,15
poly_will-person-a-win-the-2028-democratic-presidential-nomination,3
poly_will-pete-hegseth-be-the-leader-of-venezuela-end-of-2026,2
poly_will-peter-casey-win-the-irish-presidential-election,8
poly_will-phil-murphy-win-the-2028-democratic-presidential-nomination-611,10
poly_will-polymarket-us-go-live-in-2025,13
poly_will-rahm-emanuel-win-the-2028-democratic-presidential-nomination-299,7
poly_will-rand-paul-win-the-2028-republican-presidential-nomination,8
poly_will-raphael-warnock-win-the-2028-democratic-presidential-nomination-914,9
poly_will-raul-perestrello-win-the-2026-portugal-presidential-election,9
poly_will-richard-grenell-be-the-leader-of-venezuela-end-of-2026,2
poly_will-robert-f-kennedy-jr-win-the-2028-republican-presidential-nomination,13
poly_will-rodrigo-paz-win-the-2025-bolivia-presidential-election,6
poly_will-roy-cooper-win-the-2028-democratic-presidential-nomination-286,12
poly_will-salvador-alejandro-csar-nasralla-salum-win-the-2025-honduras-presidential-election,16
poly_will-sarah-huckabee-sanders-win-the-2028-republican-presidential-nomination,4
poly_will-satoshi-move-any-bitcoin-in-2025,18
poly_will-saudi-aramco-be-the-largest-company-in-the-world-by-market-cap-on-december-31,15
poly_will-saudi-aramco-be-the-second-largest-company-in-the-world-by-market-cap-on-december-31,3
poly_will-saudi-aramco-be-the-second-largest-company-in-the-world-by-market-cap-on-november-30,18
poly_will-sebastian-burduja-be-the-next-mayor-of-bucharest,10
poly_will-sorin-grindeanu-be-the-next-mayor-of-bucharest,4
poly_will-stable-launch-a-token-in-2025,3
poly_will-stephen-a-smith-win-the-2028-democratic-presidential-nomination-914,7
poly_will-stephen-smith-win-the-2028-us-presidential-election,10
poly_will-steve-bannon-win-the-2028-republican-presidential-nomination,12
poly_will-ted-cruz-win-the-2028-republican-presidential-nomination,8
poly_will-tesla-be-the-largest-company-in-the-world-by-market-cap-on-december-31,5
poly_will-tesla-be-the-largest-company-in-the-world-by-market-cap-on-november-30,15
poly_will-the-fed-decrease-interest-rates-by-25-bps-after-the-march-2026-meeting,4
poly_will-the-fed-decrease-interest-rates-by-50-bps-after-the-march-2026-meeting,5
poly_will-the-fed-increase-interest-rates-by-25-bps-after-the-march-2026-meeting,4
poly_will-the-government-shutdown-end-november-12-15,11
poly_will-the-government-shutdown-end-november-16-or-later,7
poly_will-the-government-shutdown-end-november-4-7,11
poly_will-the-government-shutdown-end-november-8-11,7
poly_will-the-iranian-regime-fall-by-march-31,17
poly_will-the-next-dutch-government-be-pvv-glpvda-vvd-cda-d66,6
poly_will-the-next-dutch-government-be-pvv-vvd-d66,7
poly_will-the-next-dutch-government-be-vvd-cda-ja21,2
poly_will-the-next-prime-minister-of-hungary-be-lszl-toroczkai,7
poly_will-the-party-for-freedom-win-the-most-seats-in-the-2025-netherlands-parliamentary-election,3
poly_will-the-us-acquire-any-part-of-greenland-in-2026,12
poly_will-the-us-invade-venezuela-by-january-31-2026,9
poly_will-there-be-another-us-government-shutdown-by-january-31,10
poly_will-there-be-at-least-10000-measles-cases-in-the-us-in-2026-418-668-617,13
poly_will-there-be-no-change-in-fed-interest-rates-after-the-march-2026-meeting,4
poly_will-tim-walz-win-the-2028-democratic-presidential-nomination-475,9
poly_will-tim-walz-win-the-2028-us-presidential-election,18
poly_will-tom-brady-win-the-2028-republican-presidential-nomination,5
poly_will-trump-acquire-greenland-before-2027,20
poly_will-trump-acquire-greenland-in-2025,16
poly_will-trump-deport-250000-500000-people,5
poly_will-trump-meet-with-xi-jinping-by-october-31,18
poly_will-trump-nominate-arthur-laffer-as-the-next-fed-chair,9
poly_will-trump-nominate-barron-trump-as-the-next-fed-chair,18
poly_will-trump-nominate-bill-pulte-as-the-next-fed-chair,13
poly_will-trump-nominate-christopher-waller-as-the-next-fed-chair,5
poly_will-trump-nominate-david-malpass-as-the-next-fed-chair,9
poly_will-trump-nominate-david-zervos-as-the-next-fed-chair,5
poly_will-trump-nominate-individual-j-as-the-next-fed-chair,18
poly_will-trump-nominate-jerome-powell-as-the-next-fed-chair,12
poly_will-trump-nominate-judy-shelton-as-the-next-fed-chair,7
poly_will-trump-nominate-kevin-hassett-as-the-next-fed-chair,9
poly_will-trump-nominate-kevin-warsh-as-the-next-fed-chair,9
poly_will-trump-nominate-larry-kudlow-as-the-next-fed-chair,2
poly_will-trump-nominate-larry-lindsey-as-the-next-fed-chair,9
poly_will-trump-nominate-michelle-bowman-as-the-next-fed-chair,5
poly_will-trump-nominate-no-one-before-2027,5
poly_will-trump-nominate-philip-jefferson-as-the-next-fed-chair,2
poly_will-trump-nominate-rick-rieder-as-the-next-fed-chair,18
poly_will-trump-nominate-ron-paul-as-the-next-fed-chair,5
poly_will-trump-nominate-scott-bessent-as-the-next-fed-chair,15
poly_will-trump-nominate-stephen-miran-as-the-next-fed-chair,11
poly_will-trump-remove-jerome-powell,15
poly_will-trump-talk-to-vladimir-putin-in-january,20
poly_will-tulsi-gabbard-win-the-2028-republican-presidential-nomination,12
poly_will-tulsi-gabbard-win-the-2028-us-presidential-election,5
poly_will-ucr-hold-the-most-seats-in-the-chamber-of-deputies-following-the-2025-argentina-election,8
poly_will-vivek-ramaswamy-win-the-2028-republican-presidential-nomination,18
poly_will-vivek-ramaswamy-win-the-2028-us-presidential-election,2
poly_will-zellnor-myrie-win-the-2025-nyc-mayoral-election,5
poly_will-zohran-mamdani-win-by-0-10,18
poly_will-zohran-mamdani-win-staten-island,5
poly_will-zohran-mamdani-win-the-2025-nyc-mayoral-election,4
poly_will-zohran-mamdani-win-the-2028-democratic-presidential-nomination-445,10
poly_will-zohran-mamdani-win-the-2028-us-presidential-election,11
poly_xi-jinping-out-before-2027,5
poly_xi-jinping-out-in-2025,15
